No.,Title,Author,Collection,Year,Contributors,"Degree name","Degree Discipline",Faculty/College
﻿11,"ความท้าทายในการจัดการการย้ายถิ่นฐานในยุคโลกาภิวัตน์: กรณีศึกษาจีนอพยพใหม่ในจังหวัดเชียงใหม่และเชียงราย","ศิวริน เลิศภูษิต","Thammasat University Research",2020,-,-,-,-
12,รายงานการทบทวนและออกแบบการเสริมสร้างขีดความสามารถในการดำเนินการด้านความซื่อตรงในการบริหารงานภาครัฐ,"อัชกรณ์ วงศ์ปรีดี, พลอย สืบวิเศษ, ธัชเฉลิม สุทธิพงษ์ประชา, ติญทรรศน์ ประทีปพรณรงค์, ปนันดา จันทร์สุกรี, ธนาพร เต็งรัตนประเสริฐ, ชุมพล อุ่นพัฒนาศิลป์","Thammasat University Research",2020,"สถาบันบัณฑิตพัฒนบริหารศาสตร์. ศูนย์บริการวิชาการ, สุพัฒน์จิตร ลาดบัวขาว, ผู้ช่วยวิจัย, อรจิรา สวัสดีมงคล, ผู้ช่วยวิจัย, พัฒนพงษ์ เลียวรักษ์โอฬาร, ผู้ช่วยวิจัย, ณฐนภ ศรัทธาธรรม, ผู้ช่วยวิจัย, ปณิสรา ไทยเจริญ, ผู้ช่วยวิจัย, ภัควัฒน์ ภูริพงศ์ธนวัต, ผู้ช่วยวิจัย, ณิศ์ชากมล คงศรี, ผู้ช่วยวิจัย",-,-,-
13,พลิกโฉมท้องถิ่นด้วยนวัตกรรมเพื่อคนไทยทุกช่วงวัย,"ธัชเฉลิม สุทธิพงษ์ประชา","Thammasat University Research",2020,-,-,-,-
14,"ยุติธรรมทัศน์กับความเหลื่อมล้ำในสังคมไทย: งานวิจัยพื้นฐาน: รายงานฉบับสมบูรณ์","วีระวัฒน์ ภัทรศักดิ์กำจร","Thammasat University Research",2021,"จิรวัฒน์ ภู่งาม, ผู้ช่วยนักวิจัย, พันธิตรา ภูผาพันธกานต์, ผู้ช่วยนักวิจัย",-,-,-
15,"โครงการศึกษาเพื่อพัฒนาแนวทางการออกแบบเฟอร์นิเจอร์สวนสาธารณะระดับหมู่บ้านในกรุงเทพมหานครที่ส่งเสริมคุณภาพชีวิตที่ดีและกิจกรรมสร้างสรรค์ของคนเมือง: รายงานวิจัยฉบับสมบูรณ์","นภมณี ทรัพย์สุนทรกุล, Nopmanee Supsoontornkul","Thammasat University Research",2020,-,-,-,-
16,"โครงการการพัฒนาศักยภาพหมอดูให้เป็นที่ปรึกษาด้านสุขภาพจิต: รายงานฉบับสมบูรณ์","นันทวรรณ วิจิตรวาทการ, ปิยะสุดา แพ่งสภา, สุกัญญา ปลั่งสุชน, สุกานดา ปลั่งสุชน","Thammasat University Research",2020,"สิริกุล จุลคีรี, ที่ปรึกษา, โสฬวรรณ อินทสิทธิ์, ที่ปรึกษา, พสชนัน ปลั่งสุชน, ผู้ช่วยนักวิจัย",-,-,-
17,"แผนบูรณาการวิจัย การตรวจคัดกรอง รักษา และฟื้นฟูโรคที่มีผลกระทบต่อสังคมทุกช่วงอายุ: รายงานผลการวิจัยฉบับสมบูรณ์","บรรยงค์ รุ่งเรืองด้วยบุญ, พัชรี คุณค้ำชู, ดุลยโชติ ชลศึกษ์, จักร ชวนอาษา, อรณี แสนมณีชัย, ปัณรสี ฤทธิประวัติ","Thammasat University Research",2020,-,-,-,-
18,"เครื่องลำเลียงไก่ระบบสายพาน: รายงานการวิจัยฉบับสมบูรณ์","ปกป้อง ส่องเมือง, นิภารัตน์ ศรีธเรศ, Pokpong Songmuang, Niparat Sritharet","Thammasat University Research",2020,-,-,-,-
19,"โครงการการประมวลผลภาพถ่ายจอตาที่ได้จากเทคโนโลยีสมาร์ทโฟน: รายงานวิจัยฉบับสมบูรณ์","ภคินี เอมมณี, มาคานอฟ, แสตนนิสลาฟ, ศักดิ์ชัย วงศกิตติรักษ์, ณวพล กาญจนารัณย์","Thammasat University Research",2020,-,-,-,-
20,"Design, syntheses of novel anti-multidrug resistant bacteria candidates derived from secondary metabolite of staphylococcus lugdunensis","ภานุมาศ ทองอยู่, Panumart Thongyoo","Thammasat University Research",2020,-,-,-,-
﻿21,"โครงการระบบดูแลผู้สูงอายุและการพัฒนาระบบนิเวศเขตเมืองสำหรับผู้สูงอายุ ภายใต้โครงการโครงสร้างพื้นฐานดิจิทัลเพื่อการพัฒนาเศรษฐกิจดิจิทัลที่ยั่งยืน: รายงานวิจัยฉบับสมบูรณ์","วิรัช ศรเลิศล้ำวาณิช","Thammasat University Research",2020,"มหาวิทยาลัยธรรมศาสตร์. สถาบันเทคโนโลยีนานาชาติสิรินธร",-,-,-
22,"จิตรกรรมสกุลช่างลำปาง: การศึกษาเชิงประติมานวิทยาและปัจจัยที่ส่งผลต่อการเปลี่ยนแปลงในการเขียนภาพจิตรกรรมฝาผนังเรื่องทศชาติชาดกในอำเภอเมือง จังหวัดลำปาง ช่วงพุทธศตวรรษที่ 24-25: รายงานวิจัยฉบับสมบูรณ์","โขมสี มีภักดี, Khomsi Meepukdee","Thammasat University Research",2020,มหาวิทยาลัยธรรมศาสตร์,-,-,-
23,"ไทยศึกษาในมหาวิทยาลัยสังคมศาสตร์และมนุษยศาสตร์ มหาวิทยาลัยแห่งชาติเวียดนาม: รายงานการวิจัยฉบับสมบูรณ์","พิทยา สุวคันธ์, Pittaya Suvakunta","Thammasat University Research",2020,มหาวิทยาลัยธรรมศาสตร์,-,-,-
24,"การสังเคราะห์งานวิจัยว่าด้วยแรงงานข้ามชาติในประเทศไทย ที่ได้รับการสนับสนุนจากสำนักงานคณะกรรมการวิจัยแห่งชาติ: องค์ความรู้ และข้อเสนอเชิงนโยบาย","ทรงชัย ทองปาน, Songchai Thongpan","Thammasat University Research",2020,"มหาวิทยาลัยธรรมศาสตร์. คณะศิลปศาสตร์",-,-,-
25,"ความต้องการและปัจจัยที่ส่งผลต่อการตัดสินใจซื้อสินค้าเกษตรอินทรีย์ของผู้บริโภคและผู้ประกอบการร้านอาหารในจังหวัดลำปาง: รายงานวิจัยฉบับสมบูรณ์","ยิ่งลักษณ์ กาญจนฤกษ์, Yingluk Kanchanaroek","Thammasat University Research",2020,"มหาวิทยาลัยธรรมศาสตร์. วิทยาลัยสหวิทยาการ",-,-,-
26,"คลัสเตอร์ ปฏิสัมพันธ์ในเชิงความรู้ กับการพัฒนานวัตกรรมของสถานประกอบการในอุตสาหกรรมอาหารแปรรูปของไทย: รายงานวิจัยฉบับสมบูรณ์","ภาคภูมิ ทิพคุณ, Phakpoom Tippakoon","Thammasat University Research",2020,"มหาวิทยาลัยธรรมศาสตร์. วิทยาลัยสหวิทยาการ",-,-,-
27,"ความสัมพันธ์ระหว่างการเลื่อนระดับชั้นระหว่างรุ่นกับลักษณะความเป็นมิตรของสวัสดิการ: กรณีศึกษาเปรียบเทียบสหรัฐอเมริกา นอร์เวย์ ญี่ปุ่น และไทย","ษัษฐรัมย์ ธรรมบุษดี","Thammasat University Research",2020,-,-,-,-
28,"การสัมผัสภาษาของผู้พูดภาษาไทใหญ่ในชุมชนบ้านเวียงหวาย ตำบลม่อนปิ่น อำเภอฝาง จังหวัดเชียงใหม่: รายงานการวิจัยฉบับสมบูรณ์","วรรณวนัช อรุณฤกษ์","Thammasat University Research",2024,-,-,-,-
29,"คุณค่าของภูมินามหมู่บ้านในจังหวัดน่าน: รายงานการวิจัยฉบับสมบูรณ์","โอฬาร รัตนภักดี","Thammasat University Research",2021,-,-,-,-
30,"กลวิธีทางภาษาในประมวลกฎหมายวิธีพิจารณาความอาญาและประมวลกฎหมายวิธีพิจารณาความแพ่งของไทย: รายงานการวิจัย","วรรณวนัช อรุณฤกษ์","Thammasat University Research",2021,-,-,-,-
﻿31,"เรื่องสูญหายจากฝ่ายแพ้: การทบทวนประวัติศาสตร์ภูมิปัญญาผ่านดาราศาสตร์ คณิตศาสตร์ มิชชันนารีและปัญญาชนสยามในศตวรรษที่ 19: รายงานวิจัย","ศุภวิทย์ ถาวรบุตร","Thammasat University Research",2021,-,-,-,-
32,"การศึกษาการมีส่วนร่วมในการดำเนินงานตามเกณฑ์คุณภาพการศึกษาเพื่อการดำเนินการที่เป็นเลิศ (EdPEx) ของบุคลากรสายสนับสนุนวิชาการ วิทยาลัยสหวิทยาการ มหาวิทยาลัยธรรมศาสตร์","หฤทัยรัตน์ ศรีจันทร์ขำ, Haruthairat Srijankham","Thammasat University Research",2024,-,-,-,-
33,"การศึกษาภาวะการทำงานและการนำความรู้ไปใช้ของบัณฑิตหลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์(ท่าพระจันทร์)","สิงหภณ แซ่ตั้ง, Shinghapon Satasng","Thammasat University Research",2024,-,-,-,-
34,"พื้นฐานระดับโมเลกุลของฟีโนไทป์ชนิดหายาก p (PP1Pk null)
ในหมู่เลือดระบบ P1PK: รายงานการวิจัยฉบับสมบูรณ์","กัมพล อินทรนุช, อ้อยทิพย์ ณ ถลาง","Thammasat University Research",2020,-,-,-,-
35,"ความสัมพันธ์ระหว่างนิเวศสร้างสรรค์กับพฤติกรรมการใช้พื้นที่ของกลุ่มคนสร้างสรรค์ย่านเจริญกรุง: รายงานวิจัยฉบับสมบูรณ์","ทิพย์สุดา จันทร์แจ่มหล้า, พีรดร แก้วลาย","Thammasat University Research",2020,-,-,-,-
36,ผลของซิลิกาเถ้าแกลบข้าวต่อสมบัติทางกายภาพของวัสดุฐานฟันเทียมอะคริลิกเรซิน,"ปัญจพร วงศ์วิทยากูล, Panjaporn Wongwitthayakool","Thammasat University Research",2020,-,-,-,-
37,"Development of thermosensitive and antioxidative beta-tricalcium phosphate nanoparticle reinforced chitosan and collagen hydrogel for mesenchymal stem cell encapsulation and delivery","Premjit Arpornmaeklong, Supakorn Boonyuen, Panjaporn Wongwitthayakool, เปรมจิต อาภรณ์แม่กลอง, สุภกร บุญยืน, ปัญจพร วงศ์วิทยากูล","Thammasat University Research",2020,-,-,-,-
38,"สถิติทดสอบสำหรับผลต่างของค่าเฉลี่ยในการวิเคราะห์อภิมานที่ไม่มีการรายงานค่าความแปรปรวนในแต่ละการศึกษา: รายงานวิจัย","ภทรวรรณ แสงนวกิจ","Thammasat University Research",2020,-,-,-,-
39,"Scale up production of temperature responsive PNIAM-co-AM grafted culture surface","Wanwipa Siriwatwechakul, วรรณวิภา ศิริวัฒน์เวชกุล","Thammasat University Research",2020,-,-,-,-
40,"การดัดแปรแป้งมันสำปะหลังให้มีประจุบวกเพื่อนำไปประยุกต์ใช้ในการเก็บเกี่ยวสาหร่ายขนาดเล็ก: รายงานวิจัยฉบับสมบูรณ์","สุเปญญา จิตตพันธ์","Thammasat University Research",2020,-,-,-,-
﻿41,"การศึกษาแบบสุ่มเพื่อเปรียบเทียบผลของ
การถ่ายเลือดจากรก 3 แบบในทารกเกิดก่อนกำหนด: รายงานวิจัยฉบับสมบูรณ์","ศรียา ประจักษ์ธรรม, จรินทร์ทิพย์ สมประสิทธิ์","Thammasat University Research",2020,-,-,-,-
42,"ขบวนการภิกษุณีไทยและโซเชียลมีเดีย: รายงานวิจัยฉบับสมบูรณ์","คัคณางค์ ยาวะประภาษ, Kakanang Yavaprabhas","Thammasat University Research",2023,-,-,-,-
43,"กระบวนการสร้างความหมายความเหลื่อมล้ำและความเป็นธรรม: แผนที่ความคิดสู่รัฐสวัสดิการ: รายงานฉบับสมบูรณ์","ษัษฐรัมย์ ธรรมบุษดี, พนมกร โยทะสอน, ดลวัฒน์ บัวประดิษฐ์","Thammasat University Research",2022,-,-,-,-
44,"บทความวิชาการเพื่อการศึกษาต่อเนื่องทางเภสัชศาสตร์: สาระสำคัญของพระราชบัญญัติพืชกระท่อม พ.ศ. 2565","ปรุฬห์ รุจนธำรงค์","Thammasat University Research",2023,-,-,-,-
45,"โครงการการเมืองเยาวชนร่วมสมัยกับการสร้างเครือข่ายการมีส่วนร่วมทางการเมืองรู้เท่าทันข่าวปลอม: วิจัยฉบับสมบูรณ์","วิไลวรรณ จงวิไลเกษม, นันท์วิสิทธิ์ ตั้งแสงประทีป","Thammasat University Research",2023,-,-,-,-
46,"An ordinary us: บทบาทของภาพยนตร์สารคดีในการทำความเข้าใจประเด็นเปราะบาง: รายงานวิจัย","มนต์ศักดิ์ ชัยวีระเดช","Thammasat University Research",2022,-,-,-,-
47,"การจัดวาระสารและการรายงานข่าวข้ามสื่อของสำนักข่าวออนไลน์เดอะสแตนดาร์ด: การเคลื่อนไหวทางการเมืองของเยาวชนในประเทศไทย พ.ศ. 2563","นันทพร วงษ์เชษฐา, Nantaporn Wongchestha","Thammasat University Research",2022,-,-,-,-
48,"ปัจจัยที่มีผลต่อการแสวงหาข้อมูลข่าวสารออนไลน์ของประชาชนในสถานการณ์การแพร่ระบาดของไวรัสโคโรนาสายพันธุ์ใหม่หรือโควิด-19: รายงานวิจัย","อัจฉรา ปัณฑรานุวงศ์","Thammasat University Research",2023,-,-,-,-
49,"การสำรวจการส่งเสริมสุขภาพและสุขภาวะของนักเรียนระดับชั้นมัธยมศึกษา โรงเรียนสาธิตสังกัดมหาวิทยาลัยของรัฐในประเทศไทย: รายงานวิจัย","พลพิพัฒน์ สุขพัฒน์ธี, หนึ่งฤทัย คณานนท์","Thammasat University Research",2021,"จีราภรณ์ กรรมบุตร",-,-,-
50,"รูปแบบการจัดการเรียนรู้กิจกรรมนันทนาการเพื่อพัฒนาสมรรถนะผู้เรียนในระดับชั้นมัธยมศึกษา: รายงานวิจัยฉบับสมบูรณ์","ณัฐสรวงกร คงจุฬากูล, พลพิพัฒน์ สุขพัฒน์ธี","Thammasat University Research",2023,-,-,-,-
﻿51,"ธรรมาสน์ไม้แกะสลักในเพชรบุรี: การวิจัยเชิงสำรวจ: โครงการวิจัย","เหมือนพิมพ์ สุวรรณกาศ, ชนัญญ์ เมฆหมอก","Thammasat University Research",2021,-,-,-,-
52,"การวิเคราะห์ช่องว่างทางการคลัง แหล่งรายได้และความเป็นไปได้ทางเศรษฐศาสตร์การเมืองของการจัดตั้งระบบบำนาญแห่งชาติโดยคำนึงถึงผลกระทบของ COVID-19 ที่มีต่อผู้สูงอายุ: รายงานวิจัยฉบับสมบูรณ์","ทีปกร จิร์ฐิติกุลชัย, ดวงมณี เลาวกุล, พัชรพร ลีพิพัฒนไพบูลย์, นันทวัฒน์ อวยสินประเสริฐ, วณัช บัณฑิตาโสภณ","Thammasat University Research",2023,-,-,-,-
53,"หน้าที่ของผู้ให้เช่าในการซ่อมแซมทรัพย์สินในพื้นที่ส่วนกลาง: ศึกษาเปรียบเทียบกฎหมายของประเทศไทย เนเธอร์แลนด์และอังกฤษ: รายงานวิจัยส่วนบุคคล","เฉลิมวุฒิ ศรีพรหม","Thammasat University Research",2023,-,-,-,-
54,แนวโน้มการพัฒนาระบบนักบริหารระดับสูงในภาครัฐของไทย,"สุนิสา ช่อแก้ว","Thammasat University Research",2023,-,-,-,-
55,"ความพึงพอใจของนักศึกษาหลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาสหวิทยาการสังคมศาสตร์ต่อการจัดการเรียนการสอนภายใต้สถานการณ์การแพร่ระบาดโควิด 19: งานวิจัย","นิตยา เชี่ยวชาญ","Thammasat University Research",2022,-,-,-,-
56,"รวมเล่มบทความวิจัย ปีการศึกษา 2562 วิทยาลัยนวัตกรรม มหาวิทยาลัยธรรมศาสตร์",-,"Thammasat University Research",2020,"มหาวิทยาลัยธรรมศาสตร์. วิทยาลัยนวัตกรรม",-,-,-
57,"Some legislative proposals for reforming the Thai Conflict of Law B.E. 2481a: comparative and international perspective: final research report","Prasit Pivavatnapanich","Thammasat University Research",2021,-,-,-,-
58,"Right of retention in execution of civil judgements and bankruptcy proceedings: a comparative study of Thai and Japanese laws","Naphat Sora-at, ณภัทร สรอัฑฒ์","Thammasat University Research",2022,-,-,-,-
59,"Replacing Bangkoks minimun parking requirements for condominiums with maximum parking limits: preliminary legal and policy recommendations","Saharat Augnistasat","Thammasat University Research",2021,-,-,-,-
60,"หน้าที่และอำนาจขององค์กรปกครองส่วนท้องถิ่นตามระบบกฎหมายไทย: รายงานฉบับสมบูรณ์","สมคิด เลิศไพฑูรย์","Thammasat University Research",2021,-,-,-,-
﻿61,"ผลของการใช้กระบวนการเขียนสร้างสรรค์ (creative writing) เพื่อพัฒนาทักษะการเขียนบทละครของผู้เรียนระดับมัธยมศึกษาตอนปลายโรงเรียนสาธิตแห่งมหาวิทยาลัยธรรมศาสตร์: รายงานวิจัยฉบับสมบูรณ์","เบญจ์ บุษราคัมวงศ์","Thammasat University Research",2021,-,-,-,-
62,"การสร้างแบบสอบวัดสมรรถนะการรู้วิทยาศาสตร์สำหรับการเริ่มต้นศึกษาในระดับมัธยมศึกษาตอนต้น: รายงานการวิจัย","หนึ่งฤทัย คณานนท์, สุรวิทย์ อัสสพันธุ์","Thammasat University Research",2021,-,-,-,-
63,"ทัศนะต่อปัจจัยที่มีผลต่อการตัดสินใจเลือกเข้าศึกษาต่อและทัศนะต่อการคงอยู่ของนักศึกษาระดับปริญญาตรี วิทยาลัยสหวิทยาการ มหาวิทยาลัยธรรมศาสตร์ ศูนย์ลำปาง: รายงานวิจัย","สนธยา วิจิตรยืนยง","Thammasat University Research",2024,-,-,-,-
64,"โครงการทบทวนกฎหมายและนโยบายแข่งขันทางการค้าของไทยเพื่อการกำกับดูแลธุรกิจดิจิตอลแพลตฟอร์ม: รายงานฉบับสมบูรณ์","วรรณวิภางค์ มานะโชติพงษ์, กนกนัย ถาวรพานิช","Thammasat University Research",2023,-,-,-,-
65,"การประเมินต้นทุนของโครงการนำร่องให้ผู้ป่วยรับยาที่ร้านขายยาเพื่อลดความแออัดในโรงพยาบาล: รายงานฉบับสมบูรณ์","ตวงรัตน์ โพธะ, นภชา สิงห์วีรธรรม, วิน เตชะเคหะกิจ, ธนะวัฒน์ วงศ์ผัน","Thammasat University Research",2020,-,-,-,-
66,"Characteristic of clickbait headlines in Thai using data mining technique","Natsuda Kaothanthong, ณัฐสุดา เกาทัณฑ์ทอง","Thammasat University Research",2020,"Thammasat University",-,-,-
67,"การวิจัยและพัฒนาโมเดลธุรกิจแบบปรับตัวได้สำหรับระบบค้นหาข้อมูลอิสระ: รายงานวิจัย","ธนาธร ทะนานทอง, Tanatorn Tanantong","Thammasat University Research",2020,มหาวิทยาลัยธรรมศาสตร์,-,-,-
68,"การพัฒนาพันธุ์ข้าวโพดหวานพิเศษเพื่อเพิ่มคุณภาพและคุณค่าเชิงอาหารสุขภาพ: รายงานวิจัยฉบับสมบูรณ์","พรชัย หาระโคตร, สกุลกานต์ สิมลา, พลัง สุริหาร, กมล เลิศรัตน์, Bhornchai Harakotr, Sakunkan Simla, Bhalang Suriharn, Kamol Lertrat","Thammasat University Research",2020,มหาวิทยาลัยธรรมศาสตร์,-,-,-
69,"การวิเคราะห์ความช่วยเหลือด้านการศึกษาของจีนต่อกัมพูชาในทศวรรษ 2010: รายงานวิจัยฉบับสมบูรณ์","อำพา แก้วกำกง","Thammasat University Research",2020,-,-,-,-
70,"การพัฒนาเศรษฐกิจและสังคมสู่ประเทศไทย 4.0: ความท้าทายใหม่ การปรับตัว และข้อเสนอแนะเชิงนโยบาย: รายงานวิจัยฉบับสมบูรณ์ โครงการหลัก","หงษ์ฟ้า ทรัพย์บุญเรือง, ภูวิน บุณยะเวชชีวิน","Thammasat University Research",2020,-,-,-,-
﻿71,"การพัฒนาเมืองอัจฉริยะของญี่ปุ่น: บทเรียนสำหรับประเทศไทย: รายงานวิจัยฉบับสมบูรณ์ โครงการวิจัยย่อยลำดับที่ 3","นิรินธร มีทรัพย์นิคม, อรวรรณ นักปราชญ์, ภูวิน บุณยะเวชชีวิน","Thammasat University Research",2020,-,-,-,-
72,"การทูตกีฬาของญี่ปุ่น จีน และเกาหลีใต้: บทเรียนสำหรับไทย: รายงานวิจัยฉบับสมบูรณ์","จินตวัฒน์ ศิริรัตน์","Thammasat University Research",2020,-,-,-,-
73,"การวิเคราะห์การพัฒนาโครงการหนึ่งตำบลหนึ่งผลิตภัณฑ์ (OTOP): ข้อเสนอแนะเชิงนโยบายภายใต้ยุทธศาสตร์ไทยแลนด์ 4.0: รายงานฉบับสมบูรณ์ โครงการย่อยลำดับที่ 1","ยุพิน คล้ายมนต์, วทัญญู ใจบริสุทธิ์","Thammasat University Research",2020,-,-,-,-
74,"The quest for soft power in Southeast Asia","Kitti Prasirtsuk","Thammasat University Research",2020,-,-,-,-
75,"การกำกับดูแลการแข่งขัน (competition regulation) ในธุรกิจแพลตฟอร์มหลายมิติ (multi-sided platforms) ในประเทศไทย: โครงการวิจัย: รายงานการวิจัย","ภูรี สิรสุนทร, ศุพฤฒิ ถาวรยุติการต์","Thammasat University Research",2022,-,-,-,-
76,"ไทยกับรัฐบาลกั๋วหมินตั่งที่ไต้หวัน: จากพันธมิตรในสงครามเย็นสู่ความสัมพันธ์ที่ไม่เป็นทางการ (ค.ศ. 1949-1994 ): รายงานการวิจัย","สิทธิพล เครือรัฐติกาล, Sitthiphon Kruarattikan","Thammasat University Research",2023,-,-,-,-
77,"วัตถุกับชีวิต: รายงานวิจัยฉบับสมบูรณ์","มงคล สุวรรณชาตรี, Mongkhol Suwanchatri","Thammasat University Research",2021,-,-,-,-
78,"โครงการการพัฒนาชุดกิจกรรมเกมค้าข้าวเพื่อใช้ในการสอนเรื่องอุปสงค์ อุปทาน และตลาดในวิชาเศรษฐศาสตร์ของกลุ่มประสบการณ์การเรียนรู้มนุษย์กับสังคมในระดับชั้นมัธยมศึกษาตอนต้น โรงเรียนสาธิตแห่งมหาวิทยาลัยธรรมศาสตร์: รายงานวิจัยฉบับสมบูรณ์","ธีรภาพ แซ่เซี่ย","Thammasat University Research",2021,-,-,-,-
79,"สิทธิชุมชนในการจัดสรรทรัพยากรน้ำโดยใช้แนวทางสันติวิธี: กรณีศึกษาพื้นที่ต้นน้ำของประเทศไทย: รายงานการศึกษาวิจัยฉบับสมบูรณ์","อำพา แก้วกำกง, จำเนียร ผะคังคิว, วีรวิชญ์ วิริย์ภิรมกุล, อภิญญา ดิสสมาน","Thammasat University Research",2021,สถาบันวิจัยและให้คำปรึกษาแห่งมหาวิทยาลัยธรรมศาสตร์,-,-,-
80,"ความร่วมมือด้านฟุตบอลระหว่างไทยกับญี่ปุ่นในปัจจุบัน: เศรษฐกิจ ภาพลักษณ์ และการพัฒนา: รายงานฉบับสมบูรณ์","จินตวัฒน์ ศิริรัตน์","Thammasat University Research",2020,-,-,-,-
﻿81,"ความช่วยเหลือด้านการศึกษาของเกาหลีใต้ต่อกัมพูชาในทศวรรษ 2010: วิเคราะห์คุณลักษณะและการดำเนินงาน: รายงานผลการวิจัย","อำพา แก้วกำกง, เมค ซัมโพ, Ampa Kaewkumkong, Mech Samphors","Thammasat University Research",2022,-,-,-,-
82,"กระบวนการพัฒนาหลักสูตรสถานศึกษาฐานสมรรถนะของโรงเรียนนำร่องในพื้นที่นวัตกรรมการศึกษา: รายงานฉบับสมบูรณ์","พลรพี ทุมมาพันธ์, กัญญ์ฐิตา ศรีภา, สุรวิทย์ อัสสพันธุ์, ศราวุธ จอมนำ","Thammasat University Research",2022,สถาบันวิจัยและให้คำปรึกษาแห่งมหาวิทยาลัยธรรมศาสตร์,-,-,-
83,โครงการวิจัยเพื่อติดตามและประเมินผลโครงการผลิตครูเพื่อพัฒนาท้องถิ่นภาคตะวันออก,"พลรพี ทุมมาพันธ์, อัครา เมธาสุข, ณัฐวัฒน์ วัชรจิตตานนท์, ศราวุธ จอมนำ, ศิริวรรณ บุญอนันต์","Thammasat University Research",2022,"มนตรี แย้มกสิกร",-,-,-
84,"ความหมายทางการเมืองในเฟซบุ๊ก เพจไข่แมว x","นันทพร วงษ์เชษฐา, Nantaporn Wongchestha","Thammasat University Research",2022,-,-,-,-
85,การสื่อสารเชิงกลยุทธ์ของกิจการเพื่อสังคมในประเทศไทย,"พีรยุทธ โอรพันธ์","Thammasat University Research",2022,-,-,-,-
86,"Newsroom alert: การตรวจสอบข่าวปลอมของห้องข่าวไทย: รายงานวิจัย","วิไลวรรณ จงวิไลเกษม","Thammasat University Research",2021,-,-,-,-
87,"การนำเสนอข่าวการฆ่าตัวตายในสังคมไทย: ถอดรหัสการสื่อสารผ่านสื่อในยุคดิจิทัล","นิธิดา แสงสิงแก้ว, Nitida Sangsingkeo","Thammasat University Research",2022,-,-,-,-
